Station;088 Messwagen Leipziger Str.;088 Messwagen Leipziger Str.;088 Messwagen Leipziger Str.;088 Messwagen Leipziger Str.;088 Messwagen Leipziger Str.;088 Messwagen Leipziger Str.
Messkomponente;Feinstaub (PM10);Stickstoffmonoxid;Stickstoffdioxid;Stickoxide;Ozon;Kohlenmonoxid
Einheit;µg/m³;µg/m³;µg/m³;µg/m³;µg/m³;mg/m³
Messzeit;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte;Stundenwerte

01.01.2018 01:00;97;34;39;92;27;0.2
01.01.2018 02:00;41;28;34;76;35;0.2
01.01.2018 03:00;18;29;31;76;37;0.2
01.01.2018 04:00;16;22;25;58;40;0.2
01.01.2018 05:00;11;11;17;35;60;0.2
01.01.2018 06:00;7;11;18;34;64;0.1
01.01.2018 07:00;7;14;24;45;57;0.2
01.01.2018 08:00;7;4;11;17;65;0.1
01.01.2018 09:00;6;5;11;18;69;0.1
01.01.2018 10:00;7;6;13;23;63;0.1
01.01.2018 11:00;6;6;12;22;64;0.1
01.01.2018 12:00;6;7;12;23;64;0.1
01.01.2018 13:00;7;13;19;38;60;0.2
01.01.2018 14:00;7;14;20;41;60;0.2
01.01.2018 15:00;7;14;22;43;59;0.2
01.01.2018 16:00;7;16;27;51;57;0.2
01.01.2018 17:00;8;21;35;67;49;0.2
01.01.2018 18:00;10;37;48;105;38;0.3
01.01.2018 19:00;9;38;45;103;39;0.3
01.01.2018 20:00;14;55;73;158;18;0.4
01.01.2018 21:00;15;53;74;155;13;0.4
01.01.2018 22:00;15;47;71;143;13;0.4
01.01.2018 23:00;13;33;60;111;15;0.3
02.01.2018 00:00;13;32;55;104;16;0.4
02.01.2018 01:00;12;21;42;74;24;0.3
02.01.2018 02:00;12;15;35;58;27;0.3
02.01.2018 03:00;11;20;36;66;27;0.3
02.01.2018 04:00;8;15;31;53;34;0.3
02.01.2018 05:00;10;23;32;67;28;0.3
02.01.2018 06:00;12;63;53;150;14;0.4
02.01.2018 07:00;16;84;67;195;6;0.4
02.01.2018 08:00;17;28;55;98;5;0.3
02.01.2018 09:00;12;17;44;70;18;0.3
02.01.2018 10:00;10;19;38;67;25;0.3
02.01.2018 11:00;11;22;39;73;23;0.3
02.01.2018 12:00;16;24;40;77;24;0.3
02.01.2018 13:00;17;45;48;117;18;0.3
02.01.2018 14:00;18;36;43;98;22;0.3
02.01.2018 15:00;16;34;46;98;24;0.4
02.01.2018 16:00;14;33;53;103;22;0.4
02.01.2018 17:00;13;60;67;159;18;0.4
02.01.2018 18:00;14;76;73;189;17;0.5
02.01.2018 19:00;14;56;60;145;21;0.4
02.01.2018 20:00;13;39;49;108;26;0.4
02.01.2018 21:00;14;23;35;70;30;0.3
02.01.2018 22:00;14;19;35;64;29;0.3
02.01.2018 23:00;14;26;39;79;26;0.4
03.01.2018 00:00;15;29;38;82;23;0.3
03.01.2018 01:00;16;19;35;64;23;0.3
03.01.2018 02:00;15;11;32;49;23;0.3
03.01.2018 03:00;13;11;27;43;25;0.3
03.01.2018 04:00;12;11;25;42;28;0.2
03.01.2018 05:00;13;14;23;45;31;0.2
03.01.2018 06:00;13;45;39;107;23;0.3
03.01.2018 07:00;11;69;58;164;20;0.3
03.01.2018 08:00;11;69;61;166;19;0.4
03.01.2018 09:00;11;77;64;181;18;0.4
03.01.2018 10:00;10;83;63;190;17;0.4
03.01.2018 11:00;10;104;73;232;11;0.4
03.01.2018 12:00;9;83;65;192;14;0.4
03.01.2018 13:00;9;110;70;237;13;0.4
03.01.2018 14:00;7;58;59;148;31;0.3
03.01.2018 15:00;7;27;42;83;46;0.3
03.01.2018 16:00;8;39;53;113;39;0.3
03.01.2018 17:00;8;30;44;90;42;0.3
03.01.2018 18:00;8;31;43;90;41;0.3
03.01.2018 19:00;6;20;33;64;46;0.3
03.01.2018 20:00;5;13;22;41;51;0.2
03.01.2018 21:00;5;10;18;33;57;0.2
03.01.2018 22:00;5;7;13;24;58;0.2
03.01.2018 23:00;5;6;12;21;57;0.2
04.01.2018 00:00;6;5;13;20;57;0.2
04.01.2018 01:00;6;4;11;18;60;0.2
04.01.2018 02:00;6;3;9;13;61;0.2
04.01.2018 03:00;6;2;9;12;61;0.2
04.01.2018 04:00;7;2;9;13;61;0.2
04.01.2018 05:00;6;4;11;18;59;0.2
